ip,port,protocol,country,anonymity,latency_ms,speed_kbps,score,last_seen
161.35.90.93,1083,socks5,NL,elite,859,0.2,9.9,2026-09-24T07:07:54.851921+00:00
179.189.242.5,5432,socks4,BR,elite,954,0.1,9.9,2026-09-24T07:07:55.020461+00:00
123.253.124.28,5678,socks4,IN,elite,977,0.1,9.9,2026-09-24T07:07:54.681171+00:00
196.0.113.10,31651,socks4,UG,anonymous,1140,0.1,9.9,2026-09-24T07:07:54.679599+00:00
20.50.39.194,1080,socks5,NL,elite,1415,0.1,9.9,2026-09-24T07:07:54.700684+00:00
59.152.97.233,1080,socks5,BD,anonymous,1480,0.1,9.9,2026-09-24T07:07:54.696484+00:00
109.232.106.150,52435,socks4,RU,elite,1653,,9.9,2026-09-24T07:07:54.676387+00:00
103.210.161.8,1080,socks5,CN,elite,1975,,9.9,2026-09-24T07:07:54.695957+00:00
154.201.127.207,8080,http,IN,elite,2302,,9.9,2026-09-24T07:07:54.685194+00:00
117.244.114.54,1080,socks5,IN,anonymous,2378,,9.9,2026-09-24T07:07:54.696120+00:00
121.169.46.116,1090,socks5,KR,elite,2388,,9.9,2026-09-24T07:07:54.698805+00:00
178.92.72.134,8080,http,IN,elite,2395,,9.9,2026-09-24T07:07:54.691531+00:00
45.194.90.194,8080,http,IN,elite,2434,,9.9,2026-09-24T07:07:54.689712+00:00
178.92.72.162,8080,http,IN,elite,2498,,9.9,2026-09-24T07:07:54.689803+00:00
154.201.127.12,8080,http,IN,elite,2574,,9.9,2026-09-24T07:07:54.689753+00:00
195.19.50.114,1080,socks5,RU,elite,2597,,9.9,2026-09-24T07:07:54.697963+00:00
178.92.72.68,8080,http,IN,elite,2612,,9.9,2026-09-24T07:07:54.686269+00:00
94.253.95.241,3629,socks4,RU,elite,2680,,9.9,2026-09-24T07:07:54.682438+00:00
36.95.189.165,5678,socks4,ID,elite,3058,0.0,9.9,2026-09-24T07:07:54.676690+00:00
165.154.20.187,10808,http,HK,anonymous,4398,0.0,9.9,2026-09-24T07:07:54.689317+00:00
147.45.66.116,1082,socks5,DE,elite,5854,0.0,9.9,2026-09-24T07:07:54.698317+00:00
201.234.24.89,4153,socks4,AR,elite,6197,0.0,9.9,2026-09-24T07:07:54.680804+00:00
79.137.78.133,8005,http,FR,elite,494,0.3,9.8,2026-09-24T07:07:54.688092+00:00
81.0.49.104,18500,socks5,ES,elite,1321,,9.8,2026-09-24T07:07:54.694990+00:00
198.245.60.202,3128,http,CA,elite,212,,9.7,2026-09-24T07:07:54.702402+00:00
167.71.245.33,3128,http,US,anonymous,2981,0.0,9.2,2026-09-24T07:07:54.690341+00:00
103.146.185.170,1083,socks4,ID,elite,6198,0.0,9.2,2026-09-24T07:07:54.680518+00:00
198.46.170.48,7890,http,US,anonymous,2255,0.1,8.8,2026-09-24T07:07:54.688268+00:00
103.167.187.4,1080,socks4,NP,anonymous,1180,0.1,8.2,2026-09-24T07:07:54.681422+00:00
45.74.31.50,21504,socks5,NL,anonymous,4031,0.0,7.7,2026-09-24T07:07:54.852504+00:00
45.74.31.22,17743,socks5,NL,elite,1278,,5.4,2026-09-24T07:07:54.851697+00:00
145.220.227.5,8080,http,NL,elite,337,0.0,5.0,2026-09-24T07:07:54.684703+00:00
